cell_size_m,210.099
rows,216,cols,34
,,,,,,-2.976,-2.936,-3.874,-4.213,-5.342,2.184,17.203,30.367,31.915,22.853,10.848,3.522,2.172,3.588,-0.293,1.691,0.855,-3.804,,,,,,,,,,
,,,,,,-1.193,2.455,2.427,2.938,4.028,5.557,17.21,27.859,27.85,10.849,-4.553,-4.594,-1.691,9.26,10.301,9.672,8.849,13.194,,,,,,,,,,
,,,,,870.708,5.416,2.725,4.552,1.935,3.263,5.795,10.095,9.096,-6.809,-17.626,-21.282,-8.999,2.325,15.316,16.315,15.221,18.1,20.211,20.616,,,,,,,,,
,,,,,885.0,2.126,0.917,0.718,0.966,4.086,5.784,7.994,4.661,-16.719,-25.11,-18.985,-1.681,14.161,22.82,22.218,20.724,23.011,24.051,23.576,,,,,,,,,
,,,,,902.367,3.891,3.78,5.705,6.636,4.638,6.408,8.933,9.375,7.256,5.186,7.103,17.958,22.484,23.182,24.072,22.295,24.089,22.835,24.1,,,,,,,,,
,,,,,,5.757,2.436,2.241,4.433,8.538,8.434,9.088,13.585,15.16,16.516,16.867,21.476,21.959,23.821,20.127,19.611,19.353,18.64,21.03,,,,,,,,,
,,,,,,2.52,2.238,0.94,8.262,9.559,8.584,11.738,9.035,7.931,12.609,9.386,10.194,14.142,12.747,11.447,7.39,8.651,9.485,4.591,,,,,,,,,
,,,,,,3.6,2.578,3.299,6.831,10.378,8.753,6.299,2.038,6.377,5.549,4.185,5.203,6.777,8.831,4.162,5.989,9.029,11.009,5.945,,,,,,,,,
,,,,,,-3.764,-3.3,-0.142,3.224,5.329,0.387,-3.729,1.396,3.472,1.468,2.455,4.931,9.489,6.84,4.888,10.142,6.261,10.064,3.564,,,,,,,,,
,,,,,,,0.578,1.553,2.825,0.44,-4.245,-2.267,-3.098,3.941,4.147,3.635,3.207,4.966,10.681,14.942,11.289,11.484,6.778,1.527,,,,,,,,,
,,,,,,,-4.541,0.621,2.627,3.012,1.708,-1.125,1.822,4.673,4.026,0.778,2.494,4.636,7.729,2.061,-2.475,6.14,5.81,-0.557,,,,,,,,,
,,,,,,,-0.136,2.366,1.828,2.509,-0.836,0.768,2.931,0.62,0.975,2.851,3.601,4.283,9.42,-6.861,0.906,3.156,5.232,6.376,,,,,,,,,
,,,,,,,1.686,1.885,2.068,0.446,1.852,0.784,-0.551,0.22,-0.516,3.417,3.212,4.215,3.511,-13.239,2.983,5.356,0.973,1.575,,,,,,,,,
,,,,,,,-1.006,1.969,-1.857,-0.79,2.53,1.517,0.835,1.148,-1.861,-0.884,1.695,7.481,4.354,2.304,-2.017,-0.96,-5.793,-1.84,,,,,,,,,
,,,,,,,-2.193,-0.582,-2.271,-0.068,-1.126,-0.934,-3.132,-0.279,2.175,1.501,-1.411,-7.751,-1.605,-3.8,-7.717,0.712,10.683,5.988,,,,,,,,,
,,,,,,,1.296,-4.873,-2.84,0.772,1.14,0.242,-4.52,-5.206,0.676,4.064,-0.545,-1.792,-2.617,-1.445,0.542,2.618,-5.944,-10.009,,,,,,,,,
,,,,,,,-2.354,-0.279,-4.135,-5.212,-5.703,-5.434,-10.174,-5.387,0.417,2.934,-4.046,-6.805,-3.892,-1.778,-3.11,-1.432,-2.879,-1.676,-1.289,,,,,,,,
,,,,,,,-6.184,-8.176,-4.134,-2.893,-11.543,-12.157,-7.471,-6.257,-3.142,-0.597,-8.521,-6.051,1.096,1.869,-0.203,0.705,3.369,-2.621,-2.026,,,,,,,,
,,,,,,,-3.887,-5.169,-13.679,-12.84,-13.949,-11.436,-12.269,-4.588,-3.272,-2.323,-4.111,-2.953,0.964,1.533,2.73,1.271,3.918,-2.401,-2.411,,,,,,,,
,,,,,,,-10.342,-11.335,-14.602,-15.081,-20.705,-17.562,-12.694,-7.859,-0.537,-2.964,-8.023,-5.465,-3.752,-1.8,1.932,4.239,-1.497,-2.404,-6.329,,,,,,,,
,,,,,,,-8.752,-8.57,-9.903,-14.601,-14.901,-9.2,-6.403,0.952,0.332,-5.772,-10.695,-6.755,-5.989,-5.653,-4.076,-2.929,-2.763,-4.829,-5.752,,,,,,,,
,,,,,,,-10.413,-8.694,-12.711,-17.279,-8.734,-6.771,0.289,4.623,0.976,-11.027,-14.255,-12.873,-12.908,-11.477,-9.529,-9.382,-9.561,-10.59,-4.848,,,,,,,,
,,,,,,,,-7.376,-8.781,-11.627,-4.689,1.068,3.8,5.491,-9.188,-16.673,-18.305,-19.435,-17.941,-17.623,-16.232,-14.838,-19.041,-14.002,-16.87,,,,,,,,
,,,,,,,,-7.067,-6.342,-5.504,-2.123,0.034,1.951,-8.304,-9.393,-8.395,-18.438,-18.921,-15.791,-18.45,-14.413,-14.793,-19.387,-13.898,-16.849,,,,,,,,
,,,,,,,,-5.097,-6.252,-0.769,-3.155,-1.774,-5.768,-12.052,-10.647,-35.875,-21.766,-22.178,-18.341,-15.663,-18.074,-19.446,-16.376,-22.319,-23.711,,,,,,,,
,,,,,,,,-5.002,-5.806,0.38,1.309,-5.515,-10.007,-10.546,-15.877,-21.562,-20.876,-17.714,-15.788,-14.87,-16.609,-20.742,-20.18,-20.116,-18.355,,,,,,,,
,,,,,,,,-2.505,-6.932,-4.431,-1.844,-3.635,-10.432,-10.966,-18.411,-19.378,-19.784,-16.484,-12.962,-14.621,-14.982,-18.292,-19.044,-16.445,-14.28,,,,,,,,
,,,,,,,,-2.209,-6.483,-3.476,-4.766,-4.446,-11.538,-12.166,-23.918,-22.466,-20.701,-12.675,-17.772,-20.61,-17.372,-15.95,-13.369,-15.807,-13.386,,,,,,,,
,,,,,,,,-0.298,-2.82,-5.936,-5.042,-9.451,-8.406,-14.676,-20.114,-20.586,-16.764,-13.057,-17.955,-16.645,-7.963,-10.94,-17.746,-15.993,-14.13,-16.029,,,,,,,
,,,,,,,,-3.824,-1.761,2.217,1.782,-2.485,-3.956,-8.136,-16.716,-15.129,-11.765,-11.827,-13.187,-11.363,-7.881,-16.337,-15.273,-15.381,-13.513,-13.759,,,,,,,
,,,,,,,,0.447,2.253,7.883,4.644,0.345,4.077,-0.11,-5.49,-7.525,-5.484,-8.843,-11.174,-8.083,-5.158,-9.502,-10.478,-12.447,-14.435,-17.229,,,,,,,
,,,,,,,,-0.331,-0.309,2.305,1.107,0.052,0.75,1.505,-7.418,-7.313,-4.115,-9.235,-8.545,-0.867,-1.683,-3.086,-6.697,-12.537,-12.476,-15.802,,,,,,,
,,,,,,,,-2.741,2.613,-5.025,-0.989,-1.646,-3.532,2.648,-6.387,-11.961,-6.773,-9.587,0.632,5.491,0.372,-6.253,-8.123,-12.592,-15.547,-21.04,,,,,,,
,,,,,,,,-4.231,-4.704,-7.499,-6.617,-2.668,-10.713,-11.013,-6.34,-12.905,-11.008,-5.033,6.475,9.018,3.61,-5.815,-10.997,-10.645,-14.613,-17.705,,,,,,,
,,,,,,,,-13.555,-8.382,-11.087,-8.833,-9.337,-8.482,-12.059,-11.052,-15.94,-5.543,1.926,7.54,4.289,-2.976,-6.452,-14.375,-14.924,-14.889,-20.388,,,,,,,
,,,,,,,,-16.855,-17.944,-18.961,-13.048,-8.769,-8.147,-14.365,-14.074,-15.382,-8.39,-9.331,-2.36,-3.078,-5.778,-9.308,-12.343,-16.183,-18.868,-20.631,,,,,,,
,,,,,,,,-13.708,-13.656,-13.419,-11.421,-9.656,-9.778,-14.583,-14.26,-7.559,-11.378,-11.495,-6.77,-9.165,-7.627,-11.693,-10.298,-12.906,-19.562,-18.302,,,,,,,
